syllable,p_stressed,p_long
rid',0.5335144531104167,0.6893298183040636
dir,0.28376026151117895,0.4551840674789761
spann,0.9783747163886282,0.9817862756965549
axt,0.5999303725699436,0.7499129657119203
klo,0.7997031848128462,0.7997031848128462
kraft,0.9161090682507197,0.991219014315632
kup,0.8999999996711625,0.8999999996711625
scharrt',0.6666666666666666,0.6666666666666666
brust,0.9787070136760616,0.9893470723290761
emp,0.0239590564408579,0.16622194048215475
hek,0.9978131664019857,0.9978165318013834
zes,0.05054449542915979,0.4668235902737703
sein,0.2805003655079207,0.6940860160981182
asp,0.3333333333333333,0.3336687864062465
hielt,0.8717614623655576,0.9736264210055918
kyn,0.6666493330268518,0.6666493330268518
schich,0.8333275099777783,0.8333275099777783
zwei,0.6776228693750406,0.9804345227843879
räch',0.4447961751229412,0.6363871433991516
zar,0.9521123829475802,0.9521123875315426
stu,0.9498774341381271,0.949877434138146
schlamms,0.6666666663758051,0.666666666387199
gan,0.9767321892379013,0.9767322245980343
chep,0.25,0.49999843008655986
zers,0.16666666696757218,0.666666515276035
set,0.8170137559342459,0.9443108019144142
phäs,0.9749726095171394,0.9749728016120415
jah,0.9411751153984045,0.9411751286171048
myn,0.7500000000000001,0.7500000000000001
strand,0.8234778166294049,0.9332748654978562
liebst,0.7458167247409769,0.7458169872644478
tigst,0.3333333333333333,0.5
platzt,0.6666516098327215,0.6666516098327215
träuft,0.33333333333333326,0.49999999999999994
schafft',0.6664147167982719,0.6664147167982719
wenn,0.6428764173539869,0.7899654724794021
feind,0.9090892018865266,0.9848470016385823
mir,0.1820445444595568,0.32144828875927267
bars,0.3335975153244217,0.3341576035428608
gäh,0.6666011339121077,0.6666011339121077
dien,0.6666666666666666,0.6666666666666666
sches,0.0454594188479974,0.05557050666985002
um,0.058636537218525075,0.35004666805463247
hoh,0.7492388765037351,0.7492388868919546
saß,0.8684042906577133,0.9652517529015319
gun,0.20000003435646369,0.20000003435646369
arms,0.7999957399009621,0.7999995561715569
nervt,0.7997922563818236,0.7997922563818236
schirr,0.9828969842686746,0.9830498921313227
zwangst,0.6666666666666666,0.6666666666666666
schlüpf',0.6664575022008187,0.6664575022008187
fehlt,0.8747325901066583,0.8747326707048854
quäst',0.6666653474896279,0.6666653474896279
fech,0.9565217391249222,0.9565217391249223
mög',0.710532438486644,0.710532438486644
starrt',0.66612468345452,0.6661255632951227
fend,0.011498476958644725,0.03918127098519886
streut',0.8564312164495322,0.8564312164500579
späht,0.7448315374843865,0.7448315380467263
sümpf,0.6631323220877445,0.6631380077905149
schand',0.7999988970633615,0.7999988975214883
pfan,0.666614465561558,0.666627353249824
lyk,0.7999999978985748,0.7999999978985748
lockt,0.5991581656775569,0.7987480982349386
schlum,0.9722135380579091,0.9722216627855735
gen,0.0013388272525670772,0.04143851090581303
schmiegt,0.9147528297673753,0.9147529092964911
gehrt',0.7928572175951429,0.7928572175951429
derb,0.9565217391300235,0.9565217391300235
ve,0.11114469656589573,0.319260956333862
sterb,0.9954946681629503,0.9954947612936915
ent,0.005750412154745756,0.2458570879763408
flücht,0.8999999999976278,0.8999999999976278
traum,0.9087334837081869,0.9087341826316561
zung',0.7498632452340483,0.7498632452340483
ters,0.015661166689103237,0.4995805555213397
el,0.9297955465779846,0.9299248471204714
mern,0.011765027637956659,0.06002506437155364
pol,0.9925908368596265,0.9925914041178516
krieg,0.9664457366455843,0.9665296675499229
nier,0.3333333333842574,0.4353270702327003
prö,0.8570319033951536,0.8570319033951536
sky,0.43950699515974495,0.43950987947799036
rön,0.6666666666666666,0.6666666666666666
lenks,0.6666658709350671,0.6666658709653698
