line_number,book_number,original_text
402,1,Aber die Herrschaft im Haus und dein Eigentum bleiben dir sicher!
403,1,"Komme nur keiner, und raube dir je mit gewaltsamen Händen"
404,1,"Deine Habe, so lange noch Männer in Ithaka wohnen!"
405,1,"Aber ich möchte dich wohl um den Gast befragen, mein Bester."
406,1,"Sage, woher ist der Mann? und welches Landes Bewohner"
407,1,Rühmt er sich? Wo ist sein Geschlecht und väterlich Erbe?
408,1,Bracht' er dir etwa Botschaft von deines Vaters Zurückkunft?
409,1,Oder kam er hieher in seinen eignen Geschäften?
410,1,"Warum eilt' er so plötzlich hinweg, und scheute so sichtbar"
411,1,"Unsre Bekanntschaft? Gewiß, unedel war seine Gestalt nicht!"
412,1,Und der verständige Jüngling Telemachos sagte dagegen:
